Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2020-01-02,206.30618286132812,206.58791869054124,202.64352303974735,203.38309470529413,3736300
2020-01-03,203.89378356933594,204.8006423072327,202.76681322642452,203.91139625941005,2274500
2020-01-06,205.98040771484375,206.04204540398118,202.05362476846503,202.44100985265823,3329300
2020-01-07,207.33631896972656,209.34373560367203,206.69358345152165,206.90489541519048,5255200
2020-01-08,209.3348846435547,211.086977426092,207.32746837303557,207.50355492694126,3564700
2020-01-09,213.59628295898438,214.30062926851323,211.14864326010095,212.48691199584152,3980700
2020-01-10,213.16485595703125,214.29182615539622,212.5309335411329,213.72834105621374,2248100
2020-01-13,215.8942413330078,216.68663762257916,213.9484491150419,215.21629392599147,3359200
2020-01-14,216.29043579101562,218.80851268246738,215.35716488623703,215.99108728090627,4302800
2020-01-15,215.8942413330078,219.67135001729613,210.5675385755393,213.06800282238743,5411200
2020-01-16,219.86508178710938,219.95313180321216,216.79231893495077,217.4790660700046,3968400
2020-01-17,219.6361541748047,220.51660053199063,218.3506965821133,220.3140881969653,3108400
2020-01-21,216.32566833496094,219.09908243443004,216.23763175953758,217.65515093894305,2492400
2020-01-22,217.5142822265625,218.80853948802232,216.88915938165198,217.12688366741185,2030900
2020-01-23,216.2200469970703,217.47027937973937,213.84284420088136,215.26916319168532,2806800
2020-01-24,212.99757385253906,216.33447295579137,211.83539168666132,215.7709878437957,2877400
2020-01-27,209.6695098876953,210.41789471839343,206.91370829448377,208.11111596287301,2506200
2020-01-28,213.57872009277344,214.45916661961252,209.59029840095616,210.8581435491321,3123000
2020-01-29,211.4127960205078,217.03004863723228,210.92856122351841,215.28676843824925,3711600
2020-01-30,214.94337463378906,215.1282608464462,208.428063494878,209.27329791351798,3261700
2020-01-31,209.3261260986328,213.85161993831503,208.56014204981858,213.0592235729586,3482800
2020-02-03,210.4355010986328,213.41141439756447,209.59028003029798,209.86321628016748,2733000
2020-02-04,213.01522827148438,214.60003465773883,212.67185467400822,213.8428501306699,3052500
2020-02-05,215.09304809570312,215.82382018549612,213.94846514259908,215.7005582326723,3126600
2020-02-06,212.90956115722656,216.38732185258155,212.34606254749272,216.01753596585345,2225600
2020-02-07,209.5462188720703,211.76494730415288,208.26957442719555,211.08699989318848,3006500
2020-02-10,208.98275756835938,209.4317803949065,207.30991478596414,209.01796951307946,2591300
2020-02-11,208.19036865234375,210.91094489548954,207.97905667280514,210.42669667230507,2238800
2020-02-12,210.11849975585938,212.34602777381775,209.29969116245186,209.55501467294786,2119200
2020-02-13,209.85438537597656,210.40025779436024,208.28719200390213,209.4141622167524,1461300
2020-02-14,208.73622131347656,210.43547631260697,207.98783654558846,209.49340570838808,1718700
2020-02-18,205.32891845703125,208.7274422242356,203.55921252940257,208.26960631761244,2736500
2020-02-19,208.9563446044922,209.37015548503854,205.39053401668974,206.90490289133896,2207100
2020-02-20,204.90628051757812,208.57774027888894,203.6032236479043,208.14633015445762,3183700
2020-02-21,203.04852294921875,204.08745657707314,201.06751875917186,203.30385990150305,3081600
