Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.3232421875,153.4282456163035,151.13728025317593,151.56683443806205,22622100
2020-01-03,151.41412353515625,152.68370535175205,150.87956583671692,151.12776374356721,21116200
2020-01-06,151.80548095703125,151.87230794316667,149.39995707140503,149.9440697335836,20813700
2020-01-07,150.42137145996094,152.41642230295344,150.17318812555376,152.0823310334366,21634100
2020-01-08,152.81735229492188,153.49510448810574,150.7745698093218,151.71004582761572,27746500
2020-01-09,154.72647094726562,154.85056988722462,153.7146276185013,154.48782810310033,21385000
2020-01-10,154.01052856445312,155.80512725217918,153.85779366217815,155.4233045620937,20725900
2020-01-13,155.86245727539062,155.89109325953706,153.93421847108908,154.41150429433944,21626500
2020-01-14,154.7646484375,156.16786940384276,154.37327071151824,155.96740302339293,23477400
2020-01-15,155.7669677734375,156.4924514232917,155.18469315115652,155.23241007287436,21417900
2020-01-16,158.6211395263672,158.6879665208014,156.57835716184766,156.88382702393884,23865400
2020-01-17,159.50889587402344,159.86208265119686,157.91474872726818,159.8143511653507,34371700
2020-01-21,158.93612670898438,160.5493545898603,158.86929972428416,159.10794255718054,29517200
2020-01-22,158.17247009277344,159.88116096936955,158.1533745873671,159.79523847784247,24138800
2020-01-23,159.1461639404297,159.22253140940367,157.7620381585891,158.64024220338177,19680800
2020-01-24,157.54248046875,159.919368845701,156.97928675619562,159.90027333654157,24918100
2020-01-27,154.90782165527344,155.95785585902553,152.92231170265217,153.82915147920096,32078100
2020-01-28,157.94337463378906,158.22973437298793,155.66194979602412,156.33968726626438,24899900
2020-01-29,160.40614318847656,161.08389517109794,158.16290953582487,160.21523185546806,34754500
2020-01-30,164.93084716796875,166.14315693787148,163.0312448171451,166.14315693787148,51597500
2020-01-31,162.49671936035156,164.56813798410553,161.87625364670603,164.38678161524783,36142700
2020-02-03,166.45816040039062,166.57270430396193,162.6589558551061,162.6875918309989,30107000
2020-02-04,171.9373779296875,172.4337590841562,168.30046360645028,169.09275953348234,36433300
2020-02-05,171.72740173339844,175.8320619700683,170.30509956420224,175.66978656794012,39186300
2020-02-06,175.28794860839844,175.4693195025829,171.88012176235213,172.74878522102316,27751400
2020-02-07,175.53614807128906,177.19710768250593,174.1901987949032,174.5434001454982,33529100
2020-02-10,180.12757873535156,180.26121811791455,174.92516871797787,175.24017895521925,35844300
2020-02-11,176.0611572265625,182.03676914651783,175.16385775009803,181.98903766180297,53159900
2020-02-12,176.3189239501953,177.40713497494,173.58884863329462,177.1493965685091,47062900
2020-02-13,175.3643341064453,177.76984376399173,174.5624829883249,174.76294940925624,35295800
2020-02-14,176.9298553466797,176.98712731330275,174.3525003237858,174.92524912123042,23149500
2020-02-18,178.72442626953125,179.17307606087337,177.0730215752583,177.17802502781936,27792200
2020-02-19,179.26043701171875,180.12189205359857,178.48512455294917,180.00703527611827,29997500
2020-02-20,176.52288818359375,179.2317055664298,173.345062600929,178.94454904497888,36862400
2020-02-21,170.9425506591797,175.64230186001902,169.65993463045433,175.32643111765134,48572600
2020-02-24,163.572265625,167.07554313301836,156.2402733599048,160.58587278820414,68311100
2020-02-25,160.873046875,167.3531367927609,160.4710189288853,166.74054294898085,68073300
2020-02-26,162.883056640625,165.84073457410113,161.00699503970944,162.44276272843192,56206100
2020-02-27,151.40650939941406,159.87754615716182,151.2150765935854,156.32642160207112,93174900
2020-02-28,155.0725555419922,156.69977143197107,145.49119956539622,145.88364643793898,97012700
2020-03-02,165.39093017578125,165.5153681023465,155.35969972862432,158.23123633263182,71030800
2020-03-03,157.46543884277344,167.50624714378853,155.31178709378187,166.35763579873682,71677000
2020-03-04,163.246826171875,163.39039713117188,158.5279277026881,161.2750404354644,49814400
2020-03-05,159.15013122558594,163.55314516534068,158.59496574082314,158.93955071049004,47817300
2020-03-06,154.6513671875,156.12541593642464,149.31987490003448,155.64682659379633,72821100
2020-03-09,144.17025756835938,150.99494667832099,143.57681142154135,144.53399016435162,70419300
2020-03-10,154.02919006347656,154.13448030155593,146.04632344854542,151.38738218810445,65354400
2020-03-11,147.05137634277344,150.9470862685925,144.67756252194508,150.40150197475725,56371600
2020-03-12,133.1052703857422,146.89821923788367,132.64582868992906,139.07807085286538,93226400
2020-03-13,152.0286865234375,154.97679851403672,134.70374714006678,141.1838506811791,92727400
2020-03-16,129.6211395263672,142.95464658961282,129.2191262196637,134.00501978335495,87905900
2020-03-17,140.29368591308594,141.18385507347162,129.21912159266896,134.00501498499003,81059800
2020-03-18,134.38787841796875,139.7480847719235,129.23826714365302,132.09065546935233,81593200
2020-03-19,136.59898376464844,143.72038128798528,133.04784422970064,136.65641215191422,85922700
2020-03-20,131.468505859375,140.80099857992752,130.0423042779866,139.7480961231457,84866200
2020-03-23,130.1571807861328,134.55064297153052,126.84535002067652,131.14307386995858,78975200
2020-03-24,141.98789978027344,143.1939544165174,135.22065325461648,137.59445259067172,82516700
2020-03-25,140.6287078857422,147.72140631630424,138.25490854547172,142.53349896031997,75638200
2020-03-26,149.42518615722656,149.95163742924396,142.0166168333385,142.04533102950404,64568100
2020-03-27,143.28965759277344,148.25741769895353,142.81106821229966,145.2518769737937,57042300
2020-03-30,153.3687286376953,153.72289466440344,143.58636181693944,145.91231349541476,63420300
2020-03-31,150.9566650390625,157.72391111486942,149.85590072827637,152.57428483607072,77927200
2020-04-01,145.59645080566406,150.99493802138917,144.36169672460142,146.4483392537087,57969900
2020-04-02,148.61158752441406,148.82216804626614,143.92141685856092,145.3571851773393,49630700
2020-04-03,147.2428436279297,150.64083191374354,145.6730706915352,148.45846501693637,41243300
2020-04-06,158.19296264648438,159.3702886170286,150.8322544870095,153.45492996002932,67111700
2020-04-07,156.48916625976562,162.7203949496014,156.26900462130646,162.32794813884126,62769000
2020-04-08,158.05892944335938,159.5329782713047,156.49872342902765,158.57579953473572,48318200
2020-04-09,158.06849670410156,160.20300120701708,156.33600551975834,159.23625593654953,51385100
2020-04-13,158.4226837158203,158.48012672169716,155.35014744673524,157.31236722719495,41905300
2020-04-14,166.26194763183594,166.30980949089667,160.80603162285263,161.76321038251245,52874300
2020-04-15,164.51986694335938,166.13750115848333,161.99291595443174,163.86897788274868,40940800
2020-04-16,169.4589385986328,169.68866678249967,165.49621871061888,166.83627787509008,50479600
2020-04-17,170.95213317871094,172.29217760683073,168.33902463579403,171.81358822458955,52765600
2020-04-20,167.56369018554688,171.0956816998776,167.49669527562645,169.0664676591749,36669600
2020-04-21,160.63369750976562,166.23318278431483,158.9969159031224,166.07046419740155,56203700
2020-04-22,166.08969116210938,166.54913295661805,163.50531098558494,164.05089537805313,34620200
2020-04-23,164.0795440673828,167.5636733792408,163.59138826845415,166.65435668458446,32790800
2020-04-24,167.07559204101562,167.08515857276916,163.40002830356804,164.69221114910923,34277600
2020-04-27,166.59695434570312,169.3249048560136,165.87907032634968,169.02818179820954,33194400
2020-04-28,162.53851318359375,168.14758096614784,162.13649988106928,168.07100491727823,34392700
2020-04-29,169.83221435546875,170.07150903698547,164.5198841101079,165.8025000977444,51286600
